Date,canada_cases,japan_cases,italy_cases,uk_cases,germany_cases,france_cases,canada_1lag,japan_1lag,italy_1lag,uk_1lag,germany_1lag,france_1lag,canada_2lag,japan_2lag,italy_2lag,uk_2lag,germany_2lag,france_2lag,canada_3lag,japan_3lag,italy_3lag,uk_3lag,germany_3lag,france_3lag,canada_ma,japan_ma,italy_ma,uk_ma,germany_ma,france_ma,canada_pt,japan_pt,italy_pt,uk_pt,germany_pt,france_pt,dow,Canada_Outdoor_Mobility,Canada_indoorMobility,Germany_Outdoor_Mobility,Germany_indoorMobility,France_Outdoor_Mobility,France_indoorMobility,Japan_Outdoor_Mobility,Japan_indoorMobility,Italy_Outdoor_Mobility,Italy_indoorMobility,United_Kingdom_Outdoor_Mobility,United_Kingdom_indoorMobility,temp_canada,temp_uk,temp_italy,temp_japan,temp_germany,temp_france
2020-05-10T00:00:00.000+0000,1173,114,802,3923,555,269,1244,88,1083,3896,736,440,1473,98,1327,4649,1158,1278,1507,224,1401,5614,1268,575,1369.5714285714287,128.57142857142858,1193.2857142857142,4625.142857142857,887.8571428571429,1107.857142857143,0.8313117942631344,0.6018707900471635,-0.26424082712771013,0.9955194518864192,-0.1958246196949179,-0.5467414090504298,1,-40,10,-21,4,-65,15,-33,12,-60,13,-61,14,50.47403846153849,53.28846153846154,63.24999999999997,60.892307692307696,57.13800000000001,53.95
2020-05-11T00:00:00.000+0000,1173,70,744,3877,697,452,1173,114,802,3923,555,269,1244,88,1083,3896,736,440,1473,98,1327,4649,1158,1278,1329.5714285714287,109.85714285714286,1125.142857142857,4609.714285714285,917.7142857142857,1084.7142857142858,0.8313117942631344,0.13086811853868816,-0.31788921837662526,0.9802682137536943,-0.024295458664703614,-0.2813710267738442,2,-39,19,-28,11,-55,19,-28,12,-57,19,-55,24,51.242512077294684,53.41153846153846,63.08076923076922,60.782051282051285,56.721739130434806,56.35
2020-05-12T00:00:00.000+0000,1155,121,1402,3403,595,728,1173,70,744,3877,697,452,1173,114,802,3923,555,269,1244,88,1083,3896,736,440,1314.857142857143,102.14285714285714,1171.857142857143,4466.428571428572,880.5714285714286,1038.857142857143,0.8101087193301728,0.6622893665746736,0.21035146945206804,0.8147290922704555,-0.1456813490879912,0.052998856356975786,3,-40,20,-24,11,-51,18,-27,13,-54,19,-54,24,52.77951219512191,53.68800000000001,62.784000000000006,61.056,56.64897959183675,59.349999999999994
2020-05-13T00:00:00.000+0000,1149,81,888,3242,927,226,1155,121,1402,3403,595,728,1173,70,744,3877,697,452,1173,114,802,3923,555,269,1267.7142857142858,113.71428571428571,1092.4285714285713,4086.285714285714,848,566.8571428571429,0.8029993646197463,0.26534175484316497,-0.18749235112571017,0.7547725510684864,0.21870283200407042,-0.6150341356992781,4,-29,19,-23,11,-42,17,-26,13,-56,19,-49,25,53.86310679611651,54.457999999999984,61.833999999999996,61.605333333333355,55.78571428571429,59.3
2020-05-14T00:00:00.000+0000,1213,71,992,3446,380,731,1149,81,888,3242,927,226,1155,121,1402,3403,595,728,1173,70,744,3877,697,452,1225.7142857142858,91.85714285714286,1034,3776.5714285714284,721.1428571428571,589.1428571428571,0.877769843686446,0.1436202065855955,-0.09891603176004007,0.8304080434753686,-0.43369473488179894,0.056258834649356,5,-31,20,-20,10,-40,17,-25,12,-53,18,-46,23,54.23872549019608,53.92083333333332,63.643750000000004,63.14166666666668,57.09583333333334,50
2020-05-15T00:00:00.000+0000,1178,83,789,3560,755,607,1213,71,992,3446,380,731,1149,81,888,3242,927,226,1155,121,1402,3403,595,728,1183.5714285714287,89.71428571428571,957.1428571428571,3621,663.5714285714286,493.2857142857143,0.8371685219746986,0.28847311709639417,-0.2761304046029653,0.8713156954010236,0.04081118096044963,-0.08486954789848991,6,-29,21,-17,10,-38,19,-28,15,-54,20,-45,24,54.06926829268294,54.88958333333334,63.727083333333326,62.898611111111094,57.54893617021277,54.400000000000006
2020-05-16T00:00:00.000+0000,1247,34,875,3450,519,112,1178,83,789,3560,755,607,1213,71,992,3446,380,731,1149,81,888,3242,927,226,1184,82,927.4285714285714,3557.285714285714,632.5714285714286,446.42857142857144,0.9165607524603071,-0.4105206275170278,-0.1988853468704538,0.8318595409130896,-0.24224291798258882,-0.8083468555122727,7,-23,10,-12,5,-36,9,-31,14,-54,15,-46,15,54.65728155339806,55.31,63.137999999999984,63.28666666666669,57.81063829787235,55.400000000000006
2020-05-17T00:00:00.000+0000,1126,48,675,3534,617,33,1247,34,875,3450,519,112,1178,83,789,3560,755,607,1213,71,992,3446,380,731,1177.2857142857142,72.57142857142857,909.2857142857143,3501.714285714286,641.4285714285714,412.7142857142857,0.7755514034745838,-0.1794475849637331,-0.3837864939798227,0.8620690890035154,-0.11872702627429946,-0.9536378313273716,1,-27,8,-4,3,-37,5,-26,9,-54,12,-45,12,54.55485436893203,55.324,63.69,64.33999999999997,58.50909090909088,57.4
2020-05-18T00:00:00.000+0000,1079,20,451,2711,182,314,1126,48,675,3534,617,33,1247,34,875,3450,519,112,1178,83,789,3560,755,607,1163.857142857143,65.42857142857143,867.4285714285714,3335.1428571428573,567.8571428571429,393,0.7184780054650007,-0.6725328954753387,-0.6145103419583305,0.5418665454085533,-0.7439953791987274,-0.47780349453304877,2,-34,24,-10,8,-32,16,-31,13,-44,14,-43,22,54.52524271844662,56.10199999999998,64.51000000000002,64.00666666666666,57.79111111111112,64.3
2020-05-19T00:00:00.000+0000,1082,62,813,2412,1227,874,1079,20,451,2711,182,314,1126,48,675,3534,617,33,1247,34,875,3450,519,112,1153.4285714285713,57,783.2857142857143,3193.5714285714284,658.1428571428571,413.85714285714283,0.7221611971117724,0.024812128400794702,-0.254240461399048,0.41055937431020983,0.48204728683708564,0.2034730531785474,3,-22,18,-7,9,-29,16,-28,14,-46,15,-39,22,54.92087378640777,56.707999999999984,64.994,63.75466666666666,58.45,66.35
